Nid,Original ID,Name,Project acronym,Visual,Project description,Results,Coordinators,Partners,Project address(es),Project postal code(s),Project town(s),Project country(ies),Project location latitude,Project location longitude,Link to a video,Timeframe start,Timeframe end,Project webpage,Related links,EU Budget MFF heading,Programme name,Funding area,EC’s priorities,EU Budget contribution,Total project budget,Author,Language
1094,,Put Aragon on Your Table,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/07_aragon_es.jpg,<p>Food producers and providers in Spain’s Aragon region have taken advantage of RDP funds that are available for promoting local food through short supply-chains - via a coordinated system of local and online outlets across an area larger than the Netherlands.</p>,Effective coordination has been a cornerstone of the project’s success and management inputs have to take account of a great many different stakeholders’ requirements. Fostering cooperation between the various links in the supply-chain helps to run operations as efficiently as possible.,ADEFO Cinco Villas.,,Rosa Rived 630,420820,Zaragoza,ES,41.597628,-0.905662,,1230764400 to 1356994800,1230764400 to 1356994800,http://www.ponaragonentumesa.com,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/es-put-aragon-on-your-table-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",2750000,2750000,DG AGRI,English
1097,,Agritourism Monitor Farm Development,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/10_agritourism_uks_-_copie.jpg,<p>Monitor Farms have been used as a skills and knowledge transfer tool in Scotland for a number of years. The development of an Agritourism Monitor farm adapts the model to develop innovation and diversification.</p>,"The vast majority of monitor farmers described their involvement in the project to be of significant value to their own businesses, and local farmers who regularly attend monitor farm meetings see monitor farms as an effective forum for exchanging knowledge and leading to improvements in the financial performance of their own farm businesses.",Scottish Enterprise,,,,,UK,55.378051,-3.435973,,1388530800 to 1420066800,1388530800 to 1420066800,http://www.scottish-enterprise.com,"<a href=""http://www.peelfarm.com"">Beneficiary</a>;<a href=""http://www.lagganoutdoor.co.uk"">Beneficiary</a>;<a href=""https://enrd.ec.europa.eu/sites/enrd/files/uk-s-agritourism-monitor-farms-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",64150,104670,DG AGRI,English
1098,,Expansion and modernisation of a model unit for dairy products,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/kefir_gr.jpg,"<p>Funding from LEADER+ allowed Iordanis Papadopoulos to establish a model unit for dairy products in 2006. The unit soon became operational and started to produce kefir. Kefir is a bioenergy traditional drink, produced from Greek cow milk by adding beneficial fresh grains.</p>","This enabled the product to be distinguished from all other dairy products available in the market. In 2011, with funding from LEADER, the business moved forward a step. The business has been modernised and commenced production of a new product (kefir yogurt) increasing its competiveness, cutting its cost of production and upgrading the quality of its products.",Aneth S.A,,,,,EL,39.074208,21.824312,,1325372400 to 1420066800,1325372400 to 1420066800,http://www.ygieia.com,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/el-expansion-modernisation-dairy-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",161949,340946,DG AGRI,English
1099,,Protecting the cultural heritage and boosting tourism in Nikiti,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/nikiti_heritage.jpg,"<p>Nikiti is a village in  the Halkidiki peninsula , one of the most popular tourism destinations in Greece and a region of immense cultural importance since antiquity. The village attracts many tourists each year because of its location. In developing the folklore museum, the local community  worked together  to assemble  1, 500 exhibits highlighting  the cultural and historical heritage of the area. This resulted in the protection of the cultural and architectural heritage of the area and created a new tourism attraction.</p>","The opening of the museum boosted the attractiveness of the area for  visitors from Greece and  abroad. By promoting and protecting the cultural  heritage of the area, by conserving buildings of historic value and assembling historic artefacts,  it also enriched the life of the local community and highlighted  the cultural richness of the region",Anetxa,,,,,EL,39.074208,21.824312,https://www.youtube.com/watch?v=YilY03j4NJQ,1356994800 to 1420066800,1356994800 to 1420066800,http://www.anetxa.gr,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/el-cultural-folklore-museum-nikiti-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",196217,206544,DG AGRI,English
1100,,Hemp bio-construction,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/vertesseup.jpg,<p>The company VERTESS UP was looking to expand its business operations by developing an innovative service that responds to the desire for a healthier and more natural lifestyle and housing. Equipment was purchased that enabled the production of various construction materials where hemp is used as a base material.</p>,As a result of the project an innovative construction technology was introduced into Latvia that used organic materials – hemp.  The company has now built a house from hemp shive concrete used as a showcase for potential clients.,Zied Zeme,,Raiņa iela 11a,LV 5070,Lielvārde,LV,56.7159244,24.8173613,,1356994800 to 1388530800,1356994800 to 1388530800,http://www.ziedzeme.lv,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/lv-hemp-construction-gp_web.pdf"">ENRD Projects and Practices</a>;<a href=""http://www.hempecosystems.lv/index_en.html"">Hemp Eco System Latvia</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,11697,19495,DG AGRI,English
1101,,From discarded fruit to local fruit juice,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/14_birch_lv_-_copie.png,<p>A local community were able to transform discarded fruit by producing fruit juice for local consumption. This provide the catalyst for improving the local economy in a way that reduced food waste and retained short food chain production.</p>,"The service developed helped to improve the quality of life for the community in several different ways – through the consumption of local, healthy and seasonal produce, the production of locally produced juice in the place of imported products and in providing a sustainable use for local resources. Transferring fruits into the juice instead of discarding them provided a boost to the local economy and reduced food waste.",Zied Zeme,,Raiņa iela 11a,LV 5070, Lielvārde,LV,56.7159244,24.8173613,,1293836400 to 1356994800,1293836400 to 1356994800,http://www.ziedzeme.lv,"<a href=""http://suluspiede.lv"">Beneficiary</a>;<a href=""https://enrd.ec.europa.eu/sites/enrd/files/lv-birch-sap-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",6159,6844,DG AGRI,English
1102,,Non caged laying hens,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/coatian_hens1.jpg,"<p>Luneta d.o.o. built the first farm where laying hens are not kept in cages. This enabled the company not only to implement directive-based standard requirements before legally obliged to do so in Croatia, but in going beyond these with further modernisation and thereby pushing the competition to strive to higher standards themselves.</p>",The project has resulted in the most modern laying hen farm in the region. Luneta d.o.o. became the largest Croatian exporter of eggs in their first year of business.,Luneta,,Trg slobode 6,42230,Ludbreg,HR,46.2524841,16.6185319,,1262300400 to 1325372400,1262300400 to 1325372400,http://www.luneta.hr,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/hr-luneta-non-caged-laying-hens-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",825000,2723979,DG AGRI,English
1103,,Slovenia Local Food Development,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/16_shortchain_si_-_copie.jpg,"<p>Development of distribution systems for producers, combined with a direct ‘fork-to-farm’ approach, has improved the market access and local food awareness in Slovenia. Local Action Groups (LAGs) have conducted a number of projects looking to organise producers and suppliers of agricultural products.</p>","The results of the connection made with public institutions is that there is now a formally established consortium of 15 schools and kindergartens, and a learning programme established with them. Lessons are provided on entrepreneurship, tourism, agriculture and local self-sufficiency.",LAG 'Heart of Slovenia',,Kidričeva cesta 1,1270,Litija,SI,46.0591996,14.825935,,1325372400 to 1388530800,1325372400 to 1388530800,http://www.razvoj.si/las,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/si-short-food-chains-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",26860,37977,DG AGRI,English
1104,,Young Farm Beekeeping,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/17_beekeeping_ro_-_copie.jpg,"<p>Rural investment used in farm modernisation can also target market access, and did so for a young farmer in Romania. The direct results in the investment were to increase the size of apiaries, and modernise a farm through specific equipment purchases. The direct selling has enabled a young farmer entering agriculture to add value through the sale of nine different types of honey and related products.</p>","The result enables the farmer to modernise his farm, and to invest in production. It also represents an investment in biodiversity both for the farm and the surrounding areas through the pollination of plants by the bees. Control of income can also be achieved, as the end products can be sold directly to consumers, resulting in greater added value for the farmer.",RDR Romania,,"Nicolae Filipescu 39-41, Et. 6",120961,Bucureşti,RO,44.43911,26.102254,,1262300400 to 1388530800,1262300400 to 1388530800,http://www.rndr.ro,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/ro-young-farmer-beekeeping-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",14400,18800,DG AGRI,English
1107,,Romania Upland Grass Cutting,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/19_uplandgrasscut_ro_-_copie.jpg,<p>There is a need for managing upland grasslands as part of the requirement to keep the rural landscape in good environmental condition. In Romania this has led to an innovation in machinery use to ensure that upland rural areas are managed.</p>,"In 2011 a specialist mowing machine was purchased as it was important to find an alternative to grazing and scything, particularly for upland pastures, to keep the pastures in good environmental condition.",Fundatia ADEPT,,Str. Principala nr. 166,547510,"Saschiz, Mures",RO,46.107215,25.062483,,1262300400 to 1325372400,1262300400 to 1325372400,http://www.fundatia-adept.org,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/ro-upland-grass-cutting-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,259000,356000,DG AGRI,English
1108,,Forest Licence project,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/21_forest_lu_-_copie.jpg,"<p>The Leader funds co-financed eight different training courses that were new and specially tailored to meet the needs of the target group. Owners were trained in topics ranging from environmentally sustainable silviculture skills for different forest species, to chainsaw health and safety.</p>",A total of 77 people completed the full set of Forest Licence courses and these land owners now possess sufficient capacity to properly manage their woodlands.,LAG Müllerthal,,"30, route de Wasserbillig",L-6490,Echternach,LU,49.8084457,6.4274319,,1167606000 to 1293836400,1167606000 to 1293836400,http://mu.leader.lu/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_6660_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,6312,23548,DG AGRI,English
1109,,Energy Efficiency Solutions in Guadeloupe,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/guadalupe.jpg,"<p>SICAPAG is a group of 58 agricultural producers specialised in the production, selling and transport of fresh fruits and vegetables. To face the increasing trade volumes and, consequently, the proportional raise of transport costs, SICAPAG decided to pilot the use of an electric vehicle in order to control and reduce energy consumption.</p>","EAFRD funds were mainly used for the purchase of two refrigerated electric vehicles. The new refrigerated vans have a load capacity of 350 kg to 450 kg each and roll up to 40 km / h, maintaining a consumption of around 2 800 to 3 000 watts with a charging time from 8 to 10 hours. In monetary terms, SICAPAG saved EUR 10 000 per year in fuel, or 8 800 L of diesel. Further, 22 tonnes of CO2 per year are no longer released in the air.",SICAPAG,,Tourment Césarion,97170,Petit Bourg,FR,16.209756,-61.602128,,1262300400 to 1325372400,1262300400 to 1325372400,http://www.sicapag-gpe.fr/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_4044_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,73628,124100,DG AGRI,English
1110,,A Tour Boat Designed for the Disabled,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/23_tourboat_se_-_copie.jpg,"<p>An association for disabled has designed and equipped the harbour and a special boat with equipment making it possible for disabled people to go out in the archipelago of Stockholm for activities such as game fishing, seal safaris and photo tours.</p>","The first summer around 40 boat trips were organised, offering 270 people active nature experiences of seal safaris, game fishing, photo tours, visits to different islands and even swimming in the sea with use of the special ''splash lift''.",SFFF,,Braxenvägen 5,761 41,Norttälje,SE,59.7374503,18.702559,,1230764400 to 1293836400,1230764400 to 1293836400,http://stockholmsfff.se/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_7900_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Justice and Fundamental Rights,89900,160700,DG AGRI,English
1111,,Automated Irrigation System for Mediterranean Horticulture,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/cyprus.jpg,<p>The EAFRD has supported the final stages of a major modernisation programme at a leading seedling nursery in Cyprus with co-financing for the installation of a modern new ‘smart’ irrigation system that is both saving costs and conserving water.</p>,"A new greenhouse and working space were built together with an extensive new ''smart'' irrigation system, including specific components for automated desalinisation of underground water, collection of rain water and waste water collection and treatment.",Solomoun Nurseries,,PO Box 25225,1307,Nicosia,CY,35.1519533,33.3507189,,1199142000 to 1262300400,1199142000 to 1262300400,http://www.solomounurseries.com.cy/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_841_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",307548,1708600,DG AGRI,English
1112,,Better Market Adaptation for Organically Grown Citrus Fruit,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/25_citrus_es_-_copie.jpg,"<p>This Spanish project improved the handling, packaging and marketing of organically grown citrus fruit in an area of natural beauty. It upgraded ripening, refrigeration, transport and labelling processes and it encouraged better market adaptation.</p>",The project’s primary achievement has been to increase the quantity and quality of products by adapting production processes to market demands. The investment has contributed to the improvement of skills – both for farmers and workers in the company - while the growth in production capacity has helped to generate new jobs.,Al Arbuli,,"El Prado, 10 ",4660,Arboleas,ES,37.3468234,-2.1001088,,1262300400 to 1293836400,1262300400 to 1293836400,http://www.al-arbuli.com/arbuli.htm,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_8261_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",91142,256309,DG AGRI,English
1113,,Construction of Recreational and Sport Facilities,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/26_sport_poland_-_copie.jpg,<p>RDP support for a quality of life project using LEADER funds to provide sport /recreation facilities. Results highlights the range of direct and indirect benefits that can be possible from such investments in motivating long-term development action.</p>,"RDP support has improved the quality of life of the rural commune’s residents, especially young people. It has also shown what can be possible from working together on collaborative projects for the good of the community. Long-term impacts are expected to contribute to helping redress depopulation pressures and encourage more community-led local development action.",Urząd Gminy w Bogdańcu,,,,,PL,51.919438,19.145136,,1293836400 to 1325372400,1293836400 to 1325372400,http://www.bogdaniec.pl,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_10120_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",75000,150000,DG AGRI,English
1114,,Glass Organic Dairy: Transparency from Farmer to Fridge,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/ec_organic_213_big.jpg,<p>In early 2010 the first nationwide glass dairy in Münchehofe was opened. It processes organic milk from the surrounding organic farmers and gives visitors an insight into the manufacturing and production processes of the regional dairy products.</p>,"The project greatly contributed to promoting sustainable, regional food production and consumption, increasing production capacity and employment (from 23 to 45 jobs). There are numerous visitors coming to the glass dairy. In particular, constructed facilities (i.e. garden, playground) allow hosting school groups.",Gläserne Meierei,,Meiereiweg 1,D-19217,Dechow,DE,53.7188686,10.9230091,,1167606000 to 1262300400,1167606000 to 1262300400,http://www.glaeserne-molkerei.de/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_7220_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",2057440,10973100,DG AGRI,English
1115,,Happy Days Artisan Ice-Cream,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/28_happydays_ireland_-_copie.jpg,"<p>Happy Days Artisan ice-cream business is adding value to local dairy products, filling a niche market gap - and putting smiles on customers faces! RDP funding helped to purchase equipment to grow this new business and create local jobs.</p>",Due to the nature of the product the promoter conducted considerable market research and trained in Italy to learn how to produce highest quality product. Equipment was initially hired to get the production facility up and running. The RDP support then enabled the promoter to buy the exact equipment needed to best suit needs resulting in significant business growth.,Happy Days Ice Cream,,"Unit 10 Cherrywood, Courthouse Industrial Estate, Little Island",,Cork,IE,51.8963889,-8.3788889,,1230764400 to 1293836400,1230764400 to 1293836400,http://www.happydaysicecream.ie/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_7100_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",19461,70766,DG AGRI,English
1117,,Implementation of a Biogas Plant in the Iasi Agrizoo Farm,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/30_biogas_it_-_copie.png,"<p>The RDP supported the establishment of micro-biogas plants in the Basilicata Region in Italy, a technology that produces heat and electricity from the fermentation of livestock manure. Processing manure became an opportunity for income diversification by producing renewable clean energy.</p>","The main activities included the establishment of a 130 KW biogas plant. The plant consisted of an electronically controlled anaerobic digester system, producing biogas that feeds a heat/electric power generator. Heat is used by the farm to cover all of its domestic needs and excess electricity is sold to the local utility company.",Contrada Zaffirro,,,85023,Forenza,IT,40.8548526,15.8611417,,1293836400 to 1356994800,1293836400 to 1356994800,,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_10723_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,225500,625000,DG AGRI,English
1118,,Cultural heritage conservation in rural Malta,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/31_cultural_mt_-_copie.jpg,<p>EUR 10.7 million invested in heritage assets as drivers of rural development through cultural tourism. The project is restoring two sites designated by UNESCO for their World Heritage value. These includes ancient Roman baths and old Christian Catacomb.</p>,"Actions co-funded by the EAFRD project include a series of preparatory studies as well as the development of Interpretation areas, access pathways, archaeological covers to protect the mosaics, interpretative aids and visitor facilities.",Heritage Malta,,Triq Marina,KKR1524,Karkarra,MT,35.918933,14.361734,,1262300400 to 1325372400,1262300400 to 1325372400,http://heritagemalta.org/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_6800_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",7479000,10783000,DG AGRI,English
1119,,Collective production of Medicinal and Aromatic Plants,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/32_aromatic_pt_-_copie.jpg,<p>Twelve farmers formed the Cooperative of Agricultural Producers Fafe (COFAFE) to collaborate in the production of high-quality organic Medicinal and Aromatic Plants (MAP).</p>,"COFAFE implemented the project in a total area of 22 ha; offering services such as processing, storing and selling of the final products",COFAFE,,"Rua D. António Monteiro, 104",4820-239,Fafe,PT,41.4775993,-8.2013005,,1262300400 to 1293836400,1262300400 to 1293836400,http://www.cofafe.com/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_4180_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",442020,1370170,DG AGRI,English
1120,,Canoe tourism in Lithuania's waterways,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/33_waterways_lt_-_copie.jpg,<p>RDP support to help expand a family business providing canoe hire and tour services for visitors in northern Lithuania.</p>,"Projects actions covered part of the costs involved in purchasing 15 new kayaks, to cater for an increased demand for the canoe services. This has helped generate more income and build a family business - which in turn generates knock-on benefits for the rural economy.",BAIDARIŲ IR KANOJŲ NUOMA,,Anykščių raj,,Svėdasai,LT,55.6835429,25.366563,,1293836400,1293836400,http://www.baidaresnuomai.lt/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_6640_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",4132,9489,DG AGRI,English
1121,,Baking Traditional Bread for the Local Community,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/34_bread_ro_-_copie.jpg,"<p>The project team used EAFRD funds to extend and modernise the capacity of the bakery production, providing now bread and bakery products for over 85000 people in rural areas of Cluj and Bistrita counties.</p>","The local communities from two counties (Cluj and Bistrita) are now provided with traditionally baked bread and wide range of high quality bakery products. Through the project 103 jobs have been created, employment being an important component. ",Agropan,,Strada Romana nr.22,407410,Mintiul Gherlii,RO,47.033398,23.912384,,1199142000 to 1293836400,1199142000 to 1293836400,http://www.agropan.ro/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_4560_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",920107,2647070,DG AGRI,English
1122,,RDP support for climate-friendly development on Europe's farms,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/ferme.jpg,<p>RDP support to a farm modernisation project in Belgium’s Walloon region involving installation of solar panels to help the family business become more self-sufficient in its power needs.</p>,"Results from the modernisation project will significantly increase the family farm’s long-term viability and greatly improve its ability to remain a competitive supplier of high quality meat products for local food markets.  Its new wooden livestock shed is also designed to provide positive environmental results, as will the generation of clean renewable energy.",Ferme Schalenbourg,,Rue Ribatte 14,4357,Haneffe,BE,50.6375627,5.3184575,,1293836400 to 1388530800,1293836400 to 1388530800,http://www.fermeschalenbourg.blogspot.be/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_11060_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,22500,300000,DG AGRI,English
1123,,Smart Village of the Future - Project Ruhtinansalmi,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/ruhtinansalmi.jpg,"<p>To overcome population decline in the picturesque village of Ruhtinansalmi (north east Finland), this project is developing infrastructure and services to attract skilled people to live, work and holiday in the area.</p>",Activities for the project includes: awareness raising and publicity about the project and opportunities; development of a village service centre; planning for high-speed internet and road upgrades; development of bio-energy ideas; renovation of the village social centre; resourcing an adult learning centre; planning and testing adventure tourism ideas; mapping of properties available for purchase and rent and advertising these in target markets; and development of signage.,Ruhtinansalmen kyläyhdistys,,Arolantie 5,89 920,Ruhtinansalmi,FI,65.231398,29.46507,,1230764400 to 1325372400,1230764400 to 1325372400,http://www.ruhtinansalmi.fi/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_4801_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",60538,149478,DG AGRI,English
1125,,Protection of Endangered Local Breeds,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/copper.jpg,"<p>The main objective of the project was to support the preservation of the Copper Red Shoumen breed, an important species in Bulgaria.</p>",The implementation of this project helped preserve the unique characteristics and purity of one of the oldest Bulgarian sheep breeds. The project also contributed to maintaining and improving the breed standards. The project is instrumental to preserve local meat and milk production''s quality that contributes to the territory competitiveness.,National Sheep Breeding Association,,,,,BG,42.733883,25.48583,,1230764400 to 1356994800,1230764400 to 1356994800,,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_10422_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,8370,10208,DG AGRI,English
1126,,Restoration of dry-stone wall landscape features in Estonia''s Matsalu National Park,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/stonewall.jpg,<p>RDP project support to a contractor providing dry-stone wall construction and maintenance services in Estonia. The project actions focused on repairing dry-stone walls in Matsalu National Park as traditional socio-cultural landscape features.</p>,"220 meters of dry-stone walls have been restored, providing a boost to the quality of semi-natural landscape features in Matsalu National Park. Outcomes improve the Park''s overall attractiveness and capacity to act as a rural tourism destination for the local economy. The walls also offer valuable habitats for amphibians, reptiles, small mammals and birds.",RMK,,Metsküla,,Lihula vald,EE,58.7177079,23.637597,,1167606000 to 1262300400,1167606000 to 1262300400,http://www.rmk.ee/subject-headings/for-hikers/national-parks/matsalu-national-park,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_8520_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,4720,5900,DG AGRI,English
1127,,Sunny Farmers Market - supporting local food in rural Hungary,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/sunny_hu.jpg,"<p>The Sunny Farmers Market aims at promoting the idea of producing and buying local in rural Hungary. It included construction of new market space where local producers could sell their products, leading to growing interest and enthusiasm of consumers.</p>","Within the project a 1500 m2 open-air market and 200 m2 market-hall building were constructed. On this space, 45 sale-points were offered to local farmers and 16 parking places. The market is open twice a week and accessible to disabled people. Besides paprika, the products offered vary from milk, honey and fruit to flowers. This space is also used by local population to organise events.",Üllés Municipality,,Süd-Alföld,,Komitat Csongrád,HU,46.416705,20.2566161,,1230764400 to 1262300400,1230764400 to 1262300400,http://www.ulles.hu/,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_6460_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",87900,140000,DG AGRI,English
1128,,Using Geothermal Heating to Expand an Orchid Production Business,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/orchids.jpg,"<p>Capitalising on experience gained in the Netherlands, two Slovenian business partners have created a highly efficient geothermal heating system, and doubled production, turnover and staff in this orchid enterprise in remote north-east Slovenia.</p>","An immediate benefit has been the creation of 15 new full-time jobs, raising the total employed to 29, averaging 33 years of age. Over 85% of all energy required is from geothermal supply and thus renewable. The amount of energy required to produce individual plants has decreased by 15%. Production has more than doubled to 1.2 million flowering pot plants, with a similar increase in turnover.",Ocean Orchids,,Dobrovnik 297,9223,Dobrovnik,SI,46.6513295,16.3520817,,1199142000 to 1230764400,1199142000 to 1230764400,http://www.oceanorchids.si,"<a href=""http://enrd.ec.europa.eu/enrd-static/policy-in-action/rdp_view/en/view_project_3160_en.html"">ENRD RDP Database</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,Energy Union and Climate,500000,3197990,DG AGRI,English
1129,,Mallu does the Rounds,,https://ec.europa.eu/budget/euprojects/sites/euprojects/files/mallu.jpg,"<p>The Mallu bus was designed by the South Karelia Social and Health Care District (Eksote) to be an easy-to-use medical service for people in rural areas. This was delivered through its new integrated mobile facility, a converted mobile caravan</p>","Lessons learned include proving the benefits from this mobile approach to rural healthcare, which aids cost-effectiveness for patients and healthcare staff.This enables the doctors to concentrate better on their own tasks and therefore improves the efficiency of regional health centres.",Eskote (South Karelia Social and Health Care District),"National Institute for Health and Welfare, Finland",,,,FI,61.92411,25.748151,https://www.youtube.com/watch?v=Un_KbY-4JJ4,1293836400 to 1356994800,1293836400 to 1356994800,http://www.eksote.fi/mallu,"<a href=""https://enrd.ec.europa.eu/sites/enrd/files/fi-mallu-does-the-rounds-gp_web.pdf"">ENRD Projects and Practices</a>",Sustainable Growth: Natural Resources,Rural development,Agriculture and Rural Development,"Jobs, Growth and Investment",48000,112000,DG AGRI,English
